feature,coef,std_err,t,p_value
const,0.485843641440328,0.01646686150524098,29.504325477304608,1.1293894410098908e-71
rarity_ord,0.011898760311177987,0.0028634352369162307,4.155414502753807,4.968331646122194e-05
creates_token,0.025473346659796975,0.007221087961948825,3.527632788026894,0.0005294580896290918
has_etb,0.015636425298839338,0.00570008424568308,2.7431919643435934,0.0066863584241103596
is_instant,0.035307769117102566,0.015421421687104912,2.289527504887972,0.023184030660591444
ci_R,-0.010839706172543415,0.005048878064616244,-2.1469534486306356,0.03310595928548932
is_creature,0.026629967554123408,0.012462256478244945,2.1368495826266045,0.033931042015470994
kw_trample,0.024150975818608495,0.01133436895758794,2.130773747438344,0.034435680835456235
kw_mill,0.02318060618961676,0.01180846657808517,1.9630496505479094,0.05114758215634315
has_x_cost,-0.0309396048214802,0.0169430216072599,-1.82609722980126,0.06945642676456874
kw_exhaust,0.016738200270552277,0.009257267791446403,1.8081145158205492,0.07222159041818221
ci_G,0.008993982697788505,0.005011702587451247,1.7945962556334547,0.07435958198378619
kw_reach,0.020990074947023013,0.012703026467807604,1.6523680400270517,0.10016493474756005
is_sorcery,0.024231866891719314,0.014710163656384443,1.647287376113066,0.10120569754071371
ci_U,0.007777877961682229,0.004883229733680037,1.59277330493742,0.11292748038507784
kw_surveil,0.022450634775294874,0.014906916575115134,1.5060549015731965,0.1337678816363739
kw_treasure,-0.021954947540060346,0.016663933262256944,-1.317512930142808,0.18930492329148144
is_planeswalker,0.03346637311909756,0.025431694805496455,1.3159316897694369,0.18983409104097243
num_colors,0.004313783787973674,0.0036167981235397093,1.19270792580257,0.23451956545742556
targeting_flexibility,0.006441468129805807,0.005445889682287248,1.1828128195025098,0.23840943684066276
kw_crew,0.014430246938423992,0.012787678159069702,1.1284493368476975,0.2605993845769183
is_counterspell,-7.361138080483394e-18,6.6119382768384744e-18,-1.113310162962252,0.2670275230321172
is_removal,0.011313764926919594,0.010619153411776975,1.0654111950555563,0.28808594004383437
kw_deathtouch,0.016925561593575444,0.017032509275787217,0.9937209673290003,0.32166373759767336
draw_cards,0.0043562827717919805,0.004460700120053052,0.9765917130829611,0.33005353128519926
is_variable_pt,0.020712055457860715,0.021727237690743563,0.9532760561957977,0.341700840825777
is_ramp,0.01043435811380948,0.011319401275514309,0.921811839675715,0.3578338192267482
is_bounce,0.017330711037708196,0.018844572134687335,0.9196659342457256,0.3589514449596093
damage_dealt,0.0026908760580735547,0.0029874610503801903,0.9007233944459655,0.3689128098597147
life_gain,0.004470677165488865,0.005081758410232286,0.8797500401607071,0.3801422664870677
kw_vigilance,-0.008071259995806934,0.009301522767011405,-0.8677353373183478,0.3866695185523091
kw_lifelink,-0.01543744480615969,0.019456658018796542,-0.7934273599939927,0.42855084116757597
kw_double_strike,0.014476894394241158,0.019505060765673713,0.742212217032338,0.4589051730167509
kw_saddle,0.01441711070879198,0.0203567541186291,0.7082224712631584,0.47970332586658354
toughness,0.001108506482031136,0.002036312156734947,0.5443696234709573,0.5868462322008562
ci_W,-0.002434732412273821,0.0047924792827330675,-0.5080319118010533,0.6120394526454889
is_artifact,0.0039476104048431285,0.007805513440314757,0.5057464105377213,0.6136400209556786
kw_ward,0.008974271830283237,0.01852416150624304,0.4844630526061174,0.628633460258104
kw_enchant,0.009165314432441063,0.02151141439147098,0.4260674944774901,0.6705566572714882
kw_flying,0.002992480222209378,0.00740166388119919,0.40429831322258686,0.6864629148484276
kw_cycling,-0.004089877541905998,0.010146350347764718,-0.4030885393985054,0.6873510712238537
has_activated_ability,0.002566545751096709,0.006758275340471288,0.3797634191858379,0.7045589988710196
kw_flash,-0.006171580558833906,0.016960291653660593,-0.3638841055838727,0.7163623333124998
cmc,-0.0006593426096053617,0.0019393072087091777,-0.33998873754727427,0.7342528082833645
has_attack_trigger,-0.00578868573801708,0.0181513963746458,-0.31891131781480025,0.7501554971988054
kw_scry,-0.006150436327105421,0.019340873525888518,-0.3180019929747651,0.7508440441149383
pt_buff_power,0.002024922496800058,0.006743107465562384,0.3002951542951832,0.7642910353433128
is_tutor,0.0055514513108154695,0.01882581316700252,0.29488507410378073,0.7684141253310559
power,0.0005108181752454203,0.002088701833859391,0.24456251580033228,0.8070677007384339
kw_menace,-0.002878801810027108,0.013044046696275065,-0.22069852071667267,0.825571882070403
kw_haste,0.002762464396875948,0.012557438887685434,0.21998629032429404,0.8261257062562435
kw_affinity,0.0034064898742246774,0.01728802131428379,0.19704336385854357,0.8440110890873725
kw_indestructible,-0.00392698472423212,0.022130677126257114,-0.177445303721544,0.8593538109947608
ci_B,0.0008163617133200296,0.004791691092816952,0.1703702716862962,0.8649061373507317
kw_max_speed,0.002454579061067899,0.017746534172090628,0.13831315102236313,0.8901441841203326
is_enchantment,0.002249309910113656,0.017841751587912805,0.1260700161097125,0.8998141499898991
kw_first_strike,0.0026694515177984046,0.023390433971803754,0.11412577983872908,0.9092625200737179
pt_buff_toughness,0.0006985926244316709,0.00675566934803101,0.10340835059301429,0.9177515049717627
kw_start_your_engines,0.0013602729760833765,0.01710171674612449,0.07954014186275392,0.9366894442691028
has_death_trigger,0.0006434426749170191,0.01383414190353594,0.04651120968714064,0.9629532415740548
