feature,coef,std_err,t,p_value
const,0.4928307523843243,0.017085817251648965,28.844435424168008,2.223260862380694e-70
creates_token,0.031131407850574826,0.007396772916179979,4.208782424897324,4.000804351299898e-05
has_etb,0.017209305569299962,0.005932292437611271,2.9009536785798704,0.004171512261825084
kw_trample,0.03154103538748772,0.011675766321245819,2.7014102988764037,0.007546284185983577
num_colors,0.008000369027929999,0.0036572119320055986,2.187559588197732,0.029955453465977624
kw_mill,0.026220797648040722,0.012293039099641813,2.1329792767684865,0.03424455907831243
is_planeswalker,0.053743773346395435,0.02603338835850339,2.0644171479445887,0.04037349707982664
ci_G,0.0102155879892733,0.005218404808579464,1.9576074229576974,0.05178024935958295
ci_R,-0.009481269521429591,0.005255130855253062,-1.804192851249756,0.07282768958779075
ci_U,0.008872594721194206,0.005085986080880153,1.7445180895301946,0.08272952010308693
is_creature,0.021998154903677562,0.012946533245435363,1.6991540891020833,0.09097105237465494
kw_exhaust,0.01589174246824674,0.009653361947330573,1.646239160507315,0.1014122771136378
is_instant,0.024655943811405928,0.015861390761681853,1.554462920803267,0.12178307915964734
is_sorcery,0.022509028257154853,0.015337192508331918,1.4676107276430703,0.1439080348395693
kw_double_strike,0.02904700101768823,0.020013141918133668,1.4513963442876048,0.14836315492128432
is_variable_pt,0.03168418863012018,0.022494405971958394,1.4085363565331666,0.16065071360211702
has_x_cost,-0.02342951657391768,0.017571419622536208,-1.333387801169359,0.18404406335347914
toughness,0.0027744607003074486,0.0020823834215745276,1.3323486306905137,0.18438449892187833
kw_treasure,-0.021857626227641827,0.017381130401393316,-1.2575491767721658,0.21013996515294808
kw_reach,0.016158595119140723,0.013194146639846067,1.2246790611180627,0.22225329707548713
kw_vigilance,-0.010960416183888634,0.009674717767634563,-1.1328926018446965,0.2587254607629445
kw_surveil,0.017247491948630136,0.015493560763739233,1.1132038794462125,0.26706519836572234
kw_ward,0.019467038861232272,0.019141090204610363,1.017028740428975,0.310467967307101
targeting_flexibility,0.005625974669988196,0.00567659092532339,0.9910833357553749,0.3229393825474445
is_removal,0.010861073622711027,0.011075618028809499,0.9806291255674937,0.3280563291406706
kw_deathtouch,0.01715831163953046,0.01776549100205742,0.96582253975099,0.3353938391793824
draw_cards,0.004088773977600164,0.004652203734003605,0.8788897071972034,0.3806011912103107
damage_dealt,0.0026358916806167726,0.0031160105614843575,0.8459187247944137,0.3986908936144967
is_bounce,0.015973532279054486,0.01965268864163243,0.8127911946468238,0.4173825163199523
kw_crew,0.008456281494841102,0.013253500755284574,0.6380413485447854,0.5242357389402071
cmc,-0.0012273218044686843,0.0020177444497349742,-0.6082642450732004,0.5437582841610198
pt_buff_power,0.0039043197470617907,0.007017491950661079,0.5563696794399581,0.5786305049591
is_artifact,0.0044866730404472185,0.008140337617985466,0.551165473841558,0.5821852848459904
ci_W,-0.0023955324128436956,0.0049987375096078234,-0.47922748658823605,0.632342789437456
kw_saddle,0.010060155509864277,0.021204724063404144,0.4744299185305809,0.6357528790408488
is_tutor,0.009242888807209415,0.01961420094302753,0.4712345322685747,0.638028478244169
kw_indestructible,0.00984238580998921,0.022822965728054437,0.43124920429998087,0.6667892730901475
life_gain,0.0022293829889140915,0.00527053670151048,0.42298974756691743,0.6727940205430475
kw_lifelink,-0.008430480383612854,0.02021771348271391,-0.4169848578980453,0.677172935627023
is_ramp,0.00477380264534269,0.011720781319898217,0.4072938923652016,0.6842630309038458
kw_start_your_engines,0.0069240030883850195,0.017783021004838095,0.3893603390841892,0.6974574318431265
kw_scry,-0.0075261530045380165,0.02017034744826816,-0.37312956674845066,0.7094791981945364
kw_first_strike,0.008484007068974397,0.02435346188023064,0.34836965318107166,0.7279587001722538
kw_haste,0.004420052358025638,0.013091299978436265,0.3376328069256882,0.7360227053838713
kw_flying,0.0025701425591006417,0.007719503012220062,0.3329414542661719,0.739555474597356
kw_affinity,0.005770868473629176,0.018022327350991352,0.32020661711661447,0.7491730718868498
has_activated_ability,0.002255342684772614,0.007048718130537324,0.3199649415688423,0.7493559762322849
kw_flash,-0.005449919668216341,0.017689333758105035,-0.3080907253343702,0.7583599074284527
kw_cycling,-0.002771141473220405,0.010577870516394946,-0.26197536346520156,0.7936318985964734
is_counterspell,-1.5348319462017588e-18,5.987372020993504e-18,-0.2563448439181969,0.7979694084147931
kw_max_speed,-0.004125598693005286,0.018436507051313656,-0.22377333632247465,0.8231805987421694
kw_menace,0.0029240322823936293,0.013527269811013544,0.2161583470459767,0.8291024759572161
has_attack_trigger,-0.003545224567439026,0.018924254415285793,-0.18733760863917692,0.851601237951203
power,0.0003732793249669837,0.0021783258330857177,0.17136064738222065,0.8641274841490566
ci_B,0.0007889882517356644,0.004997920357110547,0.15786331020924932,0.8747366837528874
kw_enchant,-0.003001600335777621,0.022228449788039544,-0.13503417307097554,0.8927316606099926
has_death_trigger,0.0018942701485764601,0.014426146079183463,0.13130812194601582,0.8956742529570474
pt_buff_toughness,0.000839516696234166,0.0070463440099928516,0.119142167206653,0.9052919990252922
is_enchantment,-0.0012597056780917076,0.018588803685332923,-0.06776690417606863,0.9460443748397899
