feature,coef,std_err,t,p_value
const,0.5324430491691027,0.023369580664566503,22.783594485989433,7.1471381743187e-47
rarity_ord,0.01686228736020038,0.003726272346717679,4.525242867729108,1.3612010968697844e-05
is_variable_pt,3.1033446940429567e-16,1.1541198819277856e-16,2.6889275045320953,0.008122768773880075
kw_disappear,-0.03554938691764514,0.01480967644400739,-2.4004161773588173,0.017815703808019653
ci_R,-0.016090179610724224,0.007593637043428371,-2.1189029076190664,0.03603076654780503
is_planeswalker,-1.2286853347822187e-16,5.815682902407925e-17,-2.1127103306707005,0.03656782797235809
creates_token,0.01756199994424302,0.008690067254217435,2.020927966434309,0.04537320579738174
kw_scry,0.031162055777411962,0.017090847050487384,1.8233183929010297,0.07058849152343107
kw_vigilance,0.03275422242830748,0.018261752228314755,1.7935969133083638,0.0752385273468231
has_attack_trigger,0.02226041619758977,0.012597436219223417,1.7670592500100022,0.07960158038107157
is_removal,0.02305003160442893,0.013090009376422235,1.760887325714733,0.08064558990824504
is_ramp,0.02847389415079571,0.01618224056049661,1.7595767436744794,0.08086872291752467
kw_equip,-0.03390819322513007,0.020410797042864,-1.6612870704618081,0.09910324532998806
kw_haste,0.03969880129298725,0.02396972999975578,1.6562056098834543,0.10012966833939874
cmc,0.005542361945167877,0.0033991148517670067,1.6305309431620758,0.10544760413620845
ci_B,0.010360358642816137,0.006557740951812073,1.5798670180701944,0.11660537102125564
num_colors,0.00672465565433196,0.0042893539202052185,1.567754906550175,0.11940721285825917
kw_mill,0.03992530333440125,0.026038570451024177,1.5333139509135714,0.1276664986928744
kw_menace,-0.024378761618630368,0.016440060726071692,-1.4828875650057047,0.1405622750355975
is_sorcery,-0.030514845498328474,0.022755221198808157,-1.3410041252390348,0.18229392187522533
kw_enchant,0.03870601433735321,0.028990928740797662,1.3351077740011805,0.1842107106796753
power,-0.004388100682147622,0.003293769233783992,-1.3322429018824813,0.18514745670793342
ci_G,0.008666747865927579,0.006525888216937546,1.328056438881923,0.18652273706181838
damage_dealt,0.004995815217858883,0.003918747376655978,1.2748500318287954,0.20467161800507166
has_death_trigger,-0.02435465828281369,0.02117861081716571,-1.1499648628074193,0.25230234970528354
is_enchantment,-0.02680594076294124,0.023496435413229218,-1.140851379858609,0.25606179717209765
toughness,-0.004251180762097042,0.0038249637499499895,-1.1114303402620809,0.2684664345025
has_etb,0.008385024603877758,0.008149824934020255,1.0288594751128575,0.3054859773274976
draw_cards,0.006126154091546092,0.006143917243661578,0.9971088230177886,0.32059293458993876
has_x_cost,-0.023634996032094985,0.02911813818025747,-0.8116932437706427,0.4184745449332355
kw_alliance,-0.010292671062909375,0.014795408662904495,-0.6956665609862793,0.4878987990956423
kw_food,-0.015145599063288745,0.022313965953440543,-0.6787497612432933,0.49852180669902957
is_counterspell,0.016725619216218707,0.02770617136518377,0.6036784727765206,0.5471257643554436
pt_buff_toughness,0.004495783417644131,0.00805473817179556,0.558153886787599,0.5777142888694808
kw_trample,0.007825170458168135,0.014351611561872063,0.5452468124874053,0.5865326210863899
kw_flash,0.010246461319314726,0.018825698079521325,0.5442805507680414,0.5871953197291621
is_artifact,0.004964100426132226,0.010912615937448506,0.45489554975512947,0.649954970859282
life_gain,0.0012363493676308367,0.0030383892486221327,0.4069094729029547,0.6847540952011217
is_tutor,-0.005933037183930012,0.020193769883959708,-0.2938053279810193,0.7693825315049542
ci_W,0.0019419603815988493,0.006638934146194614,0.2925108667800186,0.7703696729052479
ci_U,0.0018457683747149824,0.007151631062846719,0.2580905472464726,0.7967515356441767
kw_sneak,0.0023925324860347083,0.010568488616583988,0.2263835987182089,0.8212641999413647
kw_deathtouch,-0.003373088666748819,0.016832836255887048,-0.20038742226635328,0.8414956330752171
targeting_flexibility,0.0010801985937651942,0.006213636567390005,0.1738432208015224,0.8622633128368343
kw_reach,0.003549223648623756,0.021210698327612264,0.16733176785619297,0.8673730827731829
is_instant,0.0024604179201766496,0.021583178381594584,0.11399701548474492,0.9094187739017544
kw_landcycling,0.00055067521512496,0.008541001828937392,0.06447431181424661,0.948693144099029
kw_typecycling,0.0005506752151247102,0.008541001828937397,0.06447431181421732,0.9486931440990524
kw_cycling,0.0005506752151246685,0.008541001828937403,0.06447431181421241,0.9486931440990563
is_creature,-0.0010141493358367393,0.017576718121278354,-0.0576984468226188,0.954078806612817
pt_buff_power,0.0003894198402396923,0.00684013158374652,0.056931629965281574,0.9546884341615822
has_activated_ability,-0.0004063925862439338,0.009247359077060752,-0.04394688071019565,0.9650152297530739
kw_flying,0.0001651827900001901,0.010449184252804436,0.01580819956886654,0.9874120207201839
is_bounce,0.0,0.0,,
