feature,coef,std_err,t,p_value
const,0.5584626638807155,0.04111075795215721,13.584343653566991,8.189933031051382e-30
ci_R,-0.022764400506249206,0.005577653661654784,-4.081357840977068,6.587885363658803e-05
kw_gift,-0.03259030334245655,0.00962812404058089,-3.3849068837391396,0.0008649903582269464
ci_B,0.016500332736945858,0.005380216451678087,3.066852957523561,0.0024788170891739117
kw_prowess,0.050451573782626796,0.026904570451773364,1.875204581803735,0.06229874066692768
kw_ward,0.03159785304797119,0.017380956699121375,1.8179582168551456,0.07064550546800674
has_etb,0.009443662734261109,0.006378626913951783,1.480516553430216,0.14039175826195438
has_x_cost,-0.025388940392829226,0.017213565093163807,-1.4749379489616703,0.14188433950579324
power,0.004842181858293531,0.0033568900372119032,1.4424606718173143,0.15081889349399244
kw_scry,0.026783783692757555,0.018677308921085628,1.4340279858261686,0.1532079857054532
draw_cards,0.007128563090911963,0.005035242983007685,1.415733682558827,0.15849062180062642
kw_surveil,-0.019304216001264335,0.013670212046946663,-1.4121372759229485,0.15954527357544665
damage_dealt,0.005593026407026382,0.00409936409601446,1.3643643931174865,0.17406673773624134
kw_reach,0.01608026024421924,0.012019530129468856,1.3378443309355745,0.1825462518624223
kw_trample,0.014744960896667866,0.011917117987161161,1.2372925159047066,0.21750547151357758
is_artifact,-0.04318861356567502,0.03746898405206772,-1.1526497090409278,0.2505023096861676
kw_haste,-0.019666075089407875,0.017979958672254583,-1.0937775468725182,0.2754373027392479
creates_token,0.008863128203064091,0.008729864881897897,1.0152652215090439,0.31127051804004596
is_bounce,0.03522450515054069,0.03694085013555274,0.9535380214934415,0.3415290664977147
kw_enchant,0.02076005778683096,0.022204451817613748,0.9349502503981199,0.35100067501220295
is_enchantment,-0.037445985899641904,0.040847974382039375,-0.9167158584026799,0.36045365755940845
pt_buff_toughness,0.0056712562501489705,0.006237350024720249,0.9092413008204284,0.36437469115948795
is_tutor,0.03408611633968617,0.038880301161057576,0.8766937323475968,0.38176010850009223
kw_valiant,-0.011463020340687885,0.013759488447121474,-0.8330993106859277,0.40583474353438254
is_ramp,0.009430461785616268,0.012737322777042237,0.740380215739978,0.4599832488607249
kw_treasure,0.016049510990376464,0.022730026504530647,0.7060929289799731,0.48099524623163975
kw_flying,-0.006111220620462002,0.008724315662147656,-0.700481373797244,0.4844836181016478
is_removal,-0.006942434409480287,0.010296490393625018,-0.6742525019766574,0.5009703089583977
ci_W,0.0035380515808768956,0.005318475500950026,0.6652379201981663,0.506705037711807
is_counterspell,0.014631410112170923,0.022123290517835428,0.6613577713665751,0.5091841036510266
kw_equip,-0.018915349827315547,0.02925371191396261,-0.6465965715033712,0.5186733845452333
kw_forage,-0.00880345735384929,0.015106675743401616,-0.5827527844896332,0.5607507023404137
has_attack_trigger,0.0059178874334593345,0.010757414842593214,0.5501217086123594,0.5828820267870268
has_death_trigger,0.00866444985313436,0.016588395952486176,0.5223199324366128,0.6020560435899854
is_variable_pt,0.011318344039677575,0.021839424422509933,0.5182528541371144,0.6048848440209269
targeting_flexibility,0.0022208963126079465,0.0044533292679807095,0.4987047170700172,0.6185642798450505
cmc,-0.0012368465091883094,0.0024933515048022946,-0.4960578188859828,0.6204269609407463
ci_G,0.002774302392780051,0.005709499059389859,0.4859099483022814,0.6275909240200338
toughness,-0.001565312441991696,0.00330168472247526,-0.474095067689621,0.6359764810859343
kw_food,0.007310725023569609,0.01771981457336317,0.41257344953029346,0.6803843160599722
kw_vigilance,0.00441788660207762,0.011111453091918593,0.3975975568209677,0.6913731914556291
is_creature,-0.015088608896260708,0.03886730537517561,-0.38820825757315663,0.6982965384932759
kw_threshold,-0.006065907124471991,0.01564295914733683,-0.3877723560701553,0.6986185781628199
is_instant,-0.015328261812751681,0.04022122421963629,-0.38109883799281064,0.7035557024674727
num_colors,0.001910144453971977,0.005037848446227729,0.3791587766802049,0.7049933537060762
ci_U,0.001861858249618334,0.00557393385763991,0.33402948387454917,0.7387257005839205
is_sorcery,-0.011305432292898765,0.04025701363948586,-0.28083137001026565,0.7791453103711415
kw_deathtouch,0.0045966290011098115,0.01702912224015323,0.26992753568186556,0.787508951635846
life_gain,0.0010808207574851403,0.004179208943046987,0.2586185022606534,0.7962095539841162
kw_offspring,-0.002484824905570171,0.012948415396905836,-0.19190185280617014,0.8480240227468763
kw_flash,-0.002066349883348667,0.013332320346178659,-0.1549880163163743,0.8769952870937746
is_planeswalker,0.0039802350130529185,0.057375356484083664,0.06937185678588445,0.9447665859947593
kw_menace,-0.0006367990047197736,0.01214925424848679,-0.05241465786256699,0.9582533611917999
has_activated_ability,-0.00029104660840147123,0.008216118505420995,-0.035423857166792166,0.9717789496972842
kw_mill,0.0003554862686329652,0.01811757458340238,0.019621073836154003,0.9843662420424557
pt_buff_power,-8.906548175635978e-05,0.005735735139993326,-0.015528171992346115,0.9876271025890313
