feature,coef,std_err,t,p_value
const,0.5541755767144056,0.015873156697175123,34.9127515897975,1.3968576465379041e-85
is_variable_pt,8.050363830556633e-17,2.0019514881871504e-17,4.021258196344492,8.284956519588551e-05
creates_token,0.03783485118500436,0.009967019777044934,3.7960044257303367,0.00019652272527415077
kw_impending,0.08027127148363392,0.021423238847578248,3.7469251057109902,0.0002360334763951675
kw_manifest_dread,0.015086992040617461,0.004370887609154328,3.4516998352964894,0.0006836825474935763
kw_manifest,0.015086992040617427,0.004370887609154331,3.4516998352964796,0.0006836825474935998
ci_B,-0.012211028514978146,0.005179538660034081,-2.3575513798554786,0.019391653596930354
kw_delirium,0.017631215017397554,0.009743489810215783,1.8095379951967219,0.07191527734877205
kw_flash,0.020621839464506575,0.012034194892612956,1.7136035811722679,0.08819889369975353
is_planeswalker,0.06091716457951185,0.03974604501858845,1.532659779130781,0.12698881335574305
kw_lifelink,0.023910406316742766,0.017530761787289902,1.3639114264890766,0.1741758097392742
pt_buff_power,-0.006948478594443577,0.005309117532541239,-1.3087822132123055,0.19215638357942283
toughness,-0.003471670632130863,0.0028632187640059642,-1.212506244990378,0.22679314684683502
kw_trample,0.020612118985516348,0.01766130525207472,1.167077896640453,0.24461142955358564
pt_buff_toughness,0.0077557800597768435,0.006753292424499078,1.148444280546925,0.2521992843077821
is_sorcery,0.016964403609709522,0.01520679644028841,1.1155803706798206,0.26598175152677195
kw_survival,-0.01446175703586114,0.013400653140435825,-1.079182998343826,0.28184606515443167
kw_haste,0.014725176877475973,0.013971977991063497,1.0539078208464274,0.293235941880585
has_x_cost,0.023438287279388875,0.02228001733191081,1.0519869410433142,0.29411411012696304
ci_W,0.005344544111331031,0.0053242951818128275,1.0038031192536754,0.3167239080005254
kw_mill,-0.013393805081028345,0.013555664166379232,-0.9880596713400197,0.3243541399862421
is_enchantment,0.00880039150166434,0.00918365112284348,0.9582671841457678,0.339120745873648
damage_dealt,-0.0015772233980576832,0.0017177962087321522,-0.9181667709127027,0.3596716643805514
is_counterspell,-0.01742675417927604,0.022745666060814917,-0.7661571278098543,0.4445140324211082
ci_R,0.004292642459139226,0.005966883411015689,0.7194111504197345,0.47275335302744653
power,-0.0018188015645081053,0.002659666110102385,-0.6838458247069553,0.49488852877479067
kw_deathtouch,0.013020270748476614,0.019723123099384034,0.6601525875424489,0.5099389401088221
life_gain,0.0034787816819310535,0.005906457952270033,0.5889793358461226,0.556560317727943
is_removal,0.0069362259824253675,0.012246892265410557,0.5663662121055526,0.571799461657559
has_attack_trigger,-0.005895146648895455,0.010481379433701421,-0.5624399618565882,0.5744656217220608
kw_vigilance,-0.007988296866643568,0.014221084000850252,-0.561722078722407,0.5749537479892814
kw_enchant,-0.00837302659025133,0.015137556652879039,-0.5531293313877605,0.5808116925101977
is_creature,0.005399233115738908,0.01004299833176094,0.5376116710747482,0.5914613221936366
ci_U,0.002981038289120528,0.0057024965792940715,0.5227602064584771,0.6017376306332133
has_death_trigger,-0.0048714164210610506,0.009697603888577872,-0.5023319654042325,0.6160037292183032
kw_flying,0.005134747930467504,0.01027310238069302,0.4998244678372528,0.6177651131995068
is_tutor,-0.011432391525677366,0.023076090954049142,-0.49542149701361504,0.6208633268765673
kw_reach,-0.009473006082287821,0.019691432710973088,-0.4810724654386865,0.6310071251722907
has_activated_ability,-0.004233063395357256,0.009687331240090179,-0.43696899491152846,0.6626198237356246
kw_menace,0.007750864245239242,0.018179641339320922,0.42634857864191317,0.6703265573017547
kw_eerie,-0.004942175437275265,0.012031468916643535,-0.4107707439146177,0.6816939936543082
cmc,-0.0006733944469209906,0.0018625024738869915,-0.3615535852232372,0.7180791218887144
is_artifact,0.0029427116336123924,0.01017473437043339,0.28921753890338153,0.7727237463237946
has_etb,0.002182263031621001,0.007614210550722216,0.28660397779701685,0.7747214180907345
kw_typecycling,0.0025104666984879023,0.00895004038531802,0.28049780675919245,0.7793945012649376
kw_cycling,0.0025104666984878538,0.008950040385318008,0.2804978067591874,0.7793945012649414
kw_landcycling,0.00251046669848784,0.00895004038531802,0.28049780675918545,0.7793945012649429
is_ramp,-0.003962353874918972,0.014430618437234408,-0.27457963026000065,0.7839313937696962
targeting_flexibility,0.0009510401037172087,0.005415889842214234,0.17560181824680265,0.8607899264093261
kw_surveil,-0.0017064363096484791,0.011961469465570742,-0.1426610931508202,0.8867059024910279
is_instant,0.0022687063526118274,0.01688769527052663,0.13434079169887103,0.8932723660643244
kw_equip,0.0018624021183469563,0.017702913578587103,0.10520314128402346,0.9163233108125234
ci_G,-0.0005427139439984248,0.005588221689605199,-0.09711746851559978,0.9227333670383124
draw_cards,0.00041829658590866736,0.0061517374457754565,0.06799649523337858,0.9458584538265794
num_colors,-0.00013551759938666696,0.0037162097479416616,-0.0364666174888884,0.970947791974339
kw_ward,0.000246381966114928,0.018478722954815032,0.013333278859009456,0.9893755994820598
is_bounce,0.0,0.0,,
